手机名称,价格(￥),运行内存,电池容量,机身颜色,前置摄像头像素,后置摄像头像素,url
三星（SAMSUNG）Galaxy S8,3768.00,64GB,3000mAh-3999mAh,"S8迷夜黑,S8烟晶灰,S8绮梦金,S8+迷夜黑,S8+烟晶灰,S8+雾屿蓝,S9 夕雾紫,S9 迷夜黑,S9 莱茵蓝,S9+ 夕雾紫,S9+ 迷夜黑,S9+ 莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/1990447984.html
三星（SAMSUNG） 大器3 （SM-G9092） 联通3G手机 双卡双待 名仕蓝 32G 官方标配,2999.00,N/A,1200mAh-1999mAh,N/A,200万-499万,1200万-1999万,https://item.jd.com/11545836531.html
三星（SAMSUNG）Galaxy J3,999.00,32GB,2000mAh-2999mAh,"流沙金（3G+32G）,凝霜蓝  (3G+32G),嫣霞粉（3G+32G）,雪夜黑（3G+32G）",500万-799万,1200万-1999万,https://item.jd.com/15771299238.html
三星（SAMSUNG）Galaxy S7,2419.00,N/A,3000mAh-3999mAh,"铂光金,白色",500万-799万,1200万-1999万,https://item.jd.com/12530387127.html
三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）,2699.00,64GB,4000mAh-5999mAh,"枫叶金（6G+64G）,蔷薇粉（6G+64G）,墨玉黑（6G+64G）",1600万及以上,1200万-1999万,https://item.jd.com/16506236156.html
三星（SAMSUNG）Galaxy S8,4999.00,64GB,3000mAh-3999mAh,"勃艮第红,绮梦金,雾屿蓝,烟晶灰,谜夜黑",800万-1599万,N/A,https://item.jd.com/25942200786.html
三星（SAMSUNG） GALAXY J5（J5008）移动4G智能老人机手机 金 色 （1.5G+16G）,857.00,16GB,2000mAh-2999mAh,"金 色,白色,带图评价有好礼",500万-799万,1200万-1999万,https://item.jd.com/13011704982.html
三星（SAMSUNG）W2016 ,4999.00,64GB,2000mAh-2999mAh,"尊崇银,尊贵金",500万-799万,1200万-1999万,https://item.jd.com/10129145921.html
三星（SAMSUNG）Galaxy C9 Pro,2248.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/11719291008.html
三星（SAMSUNG） 三星 Galaxy C8 手机 枫叶金 全网通(4GRAM+64GROM)标配,1728.00,支持内存卡,3000mAh-3999mAh,"蔷薇粉,枫叶金,墨玉黑",1600万及以上,N/A,https://item.jd.com/16841769574.html
三星（SAMSUNG）Galaxy J3,899.00,3GB,2000mAh-2999mAh,"金色,蓝色,粉色,黑色",N/A,N/A,https://item.jd.com/16016276095.html
SAMSUNGGalaxy Note8,5899.00,128GB,3000mAh-3999mAh,"幻月灰,星夜黑,深海蓝,樱花粉",800万-1599万,N/A,https://item.jd.com/17256342636.html
三星（SAMSUNG）Galaxy S8,3768.00,64GB,3000mAh-3999mAh,"S8迷夜黑,S8烟晶灰,S8绮梦金,S8+迷夜黑,S8+烟晶灰,S8+雾屿蓝,S9 夕雾紫,S9 迷夜黑,S9 莱茵蓝,S9+ 夕雾紫,S9+ 迷夜黑,S9+ 莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/1990447984.html
三星（SAMSUNG） 大器3 （SM-G9092） 联通3G手机 双卡双待 名仕蓝 32G 官方标配,2999.00,N/A,1200mAh-1999mAh,N/A,200万-499万,1200万-1999万,https://item.jd.com/11545836531.html
三星（SAMSUNG）Galaxy J3,999.00,32GB,2000mAh-2999mAh,"流沙金（3G+32G）,凝霜蓝  (3G+32G),嫣霞粉（3G+32G）,雪夜黑（3G+32G）",500万-799万,1200万-1999万,https://item.jd.com/15771299238.html
三星（SAMSUNG）Galaxy S7,2419.00,N/A,3000mAh-3999mAh,"铂光金,白色",500万-799万,1200万-1999万,https://item.jd.com/12530387127.html
三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）,2699.00,64GB,4000mAh-5999mAh,"枫叶金（6G+64G）,蔷薇粉（6G+64G）,墨玉黑（6G+64G）",1600万及以上,1200万-1999万,https://item.jd.com/16506236156.html
三星（SAMSUNG）Galaxy S8,4999.00,64GB,3000mAh-3999mAh,"勃艮第红,绮梦金,雾屿蓝,烟晶灰,谜夜黑",800万-1599万,N/A,https://item.jd.com/25942200786.html
三星（SAMSUNG） GALAXY J5（J5008）移动4G智能老人机手机 金 色 （1.5G+16G）,857.00,16GB,2000mAh-2999mAh,"金 色,白色,带图评价有好礼",500万-799万,1200万-1999万,https://item.jd.com/13011704982.html
三星（SAMSUNG）W2016 ,4999.00,64GB,2000mAh-2999mAh,"尊崇银,尊贵金",500万-799万,1200万-1999万,https://item.jd.com/10129145921.html
三星（SAMSUNG）Galaxy C9 Pro,2248.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/11719291008.html
三星（SAMSUNG） 三星 Galaxy C8 手机 枫叶金 全网通(4GRAM+64GROM)标配,1728.00,支持内存卡,3000mAh-3999mAh,"蔷薇粉,枫叶金,墨玉黑",1600万及以上,N/A,https://item.jd.com/16841769574.html
三星（SAMSUNG）Galaxy J3,899.00,3GB,2000mAh-2999mAh,"金色,蓝色,粉色,黑色",N/A,N/A,https://item.jd.com/16016276095.html
SAMSUNGGalaxy Note8,5899.00,128GB,3000mAh-3999mAh,"幻月灰,星夜黑,深海蓝,樱花粉",800万-1599万,N/A,https://item.jd.com/17256342636.html
三星（SAMSUNG） Galaxy Note 7 fe  粉丝版Fan Edition 珊瑚蓝 限量发售（双卡）,4188.00,64GB,3000mAh-3999mAh,"珊瑚蓝 限量发售（双卡）,玛瑙黑 限量发售（双卡）",500万-799万,N/A,https://item.jd.com/1991073238.html
三星（SAMSUNG）Galaxy C9 Pro,2269.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/15513473001.html
三星（SAMSUNG） 三星S9/S9+ 全网通4G 曲面屏 智能手机 S9 谜夜黑 4GB+64GB 港版,4999.00,N/A,3000mAh-3999mAh,"S9 谜夜黑,S9 夕雾紫,S9+ 谜夜黑,S9+ 夕雾紫,S9+ 莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/25944012369.html
三星（SAMSUNG） GT-E1200R老人机手机 手机老人机移动 手机联通直板,178.00,N/A,1200mAh以下,N/A,N/A,N/A,https://item.jd.com/1990033695.html
